idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
107315,-0.253,1.286,-0.114,-65.4,-45,16.9,19.438,472.625,-14.25,95.073,11.075,170.024,43.496,5.35,51913.02,6608.64
107316,-0.205,1.232,-0.074,-69.3,-45.5,2.9,6.938,462.875,-11,93.446,9.431,179.879,43.479,5.32,51743.77,6642.66
107317,-0.224,1.09,-0.067,-55.4,-44.3,-5.3,-7.438,458.812,-9.875,93.535,11.564,187.248,43.49,5.28,51168.23,6760.81
107318,-0.261,0.949,-0.096,-43,-44.6,4.2,12.625,453.062,-13.625,95.757,15.286,180.317,43.493,5.3,50723.75,6853
107319,-0.226,0.932,-0.093,-54,-44.5,16.6,9.562,436.688,-10.125,95.681,13.59,169.163,43.523,5.25,50286.63,6945.23
107320,-0.157,0.866,-0.121,-69.4,-44.5,14.3,17.438,408.625,-10.812,97.958,10.191,174.025,43.484,5.26,49865.57,7033.47
107321,-0.066,0.821,0.023,-68.8,-43,2.5,15.312,368.688,-10,88.365,4.621,177.039,43.49,5.25,49454.68,7121.4
107322,-0.093,0.726,-0.004,-57.5,-44.4,-6.9,4.188,325.125,-6.875,90.308,7.277,186.5,43.492,5.24,49064.68,7205.6
107323,-0.022,0.64,-0.015,-46.1,-44.5,-1.1,7.375,308.812,-6.438,91.31,2.007,182.545,43.543,5.25,48682.59,7290.01
107324,-0.143,0.566,0.017,-43.7,-44.8,8.1,10.062,319,-8.688,88.321,14.216,169.989,43.516,5.25,48331.26,7366.6
107325,-0.107,0.59,0.041,-52.3,-44.6,16.6,13.312,343.375,-9,86.022,10.297,161.636,43.534,5.19,47975.02,7446
107326,-0.18,0.529,-0.016,-65,-45,16.6,7.812,378.062,-8.562,91.691,18.744,168.667,43.534,5.2,47625.48,7524.18
107327,-0.15,0.49,-0.086,-69.9,-44.2,5.3,12.875,416.938,-6.25,99.943,16.813,181.732,43.532,5.22,47277.28,7602.7
107328,-0.256,0.445,-0.083,-56.1,-44,-5,10.312,436.125,-9.875,100.559,29.459,190.552,43.551,5.22,46929.58,7682.3
107329,-0.091,0.49,-0.115,-44.7,-45.4,2.2,20.625,447.688,-6.062,103.228,10.223,189.025,43.552,5.2,46610.89,7755.5
107330,-0.217,0.452,-0.082,-50.9,-44.5,15.1,13.562,449.875,-11,100.283,25.257,174.008,43.557,5.17,46285.5,7830.93
107331,-0.243,0.441,-0.108,-67.8,-44.3,13.9,14.062,446.312,-8.125,103.797,28.146,177.942,43.565,5.16,45971.31,7904.45
107332,-0.172,0.44,-0.042,-67.6,-44.3,-0.1,13.938,441.688,-12.625,95.446,21.23,183.119,43.562,5.17,45646.14,7980.89
107333,-0.186,0.42,-0.101,-52.6,-44.3,-6.1,14.688,436.938,-8,103.471,23.363,194.078,43.576,5.17,45351.01,8051.26
107334,-0.239,0.384,-0.053,-43.5,-44.3,5.5,15.438,432.875,-12.375,97.824,31.7,180.551,43.58,5.17,45047.91,8123.84
107335,-0.12,0.429,-0.068,-54,-44.7,17.1,15.438,426,-10.625,99.039,15.433,171.307,43.568,5.18,44754.25,8194.3
107336,-0.077,0.467,-0.05,-67.7,-44.6,15.3,7.25,414,-10.312,96.09,9.333,171.966,43.609,5.21,44460.35,8266.75
107337,-0.191,0.358,-0.103,-67.3,-45,-0.1,14.25,414.312,-10.5,106.11,27.162,188.983,43.573,5.21,44167.21,8337.56
107338,-0.155,0.399,-0.035,-53.2,-45.1,-5.4,9.375,409.125,-9.125,95.03,21.169,188.09,43.613,5.22,43894.02,8406.02
107339,-0.159,0.366,-0.078,-43.6,-44.3,4.4,13,407.125,-9.625,102.043,23.03,184.916,43.593,5.26,43609.37,8476.24
107340,-0.223,0.336,-0.041,-52,-44.6,14.3,8.938,400.875,-7.75,96.961,33.341,172.712,43.606,5.26,43338.01,8544.58
107341,-0.244,0.347,-0.068,-65.1,-44.8,18,13.062,402.438,-8.812,101.124,34.569,173.609,43.584,5.3,43068.54,8611.96
107342,-0.157,0.352,-0.039,-69.9,-44.4,3.9,11.812,397.875,-8,96.323,23.906,180.708,43.637,5.31,42801.73,8681.24
107343,-0.196,0.338,-0.053,-59.5,-45.4,-4.1,13.25,395.312,-8.188,98.871,29.855,188.538,43.613,5.31,42540.96,8747.37
107344,-0.178,0.308,-0.035,-44,-44.6,-0.9,12.875,390.875,-8.25,96.499,29.78,185.642,43.651,5.34,42290.91,8812.91
107345,-0.18,0.315,-0.077,-47.6,-45.3,10.8,12.75,389.062,-7.625,103.744,28.958,180.242,43.62,5.33,42026.05,8880.85
107346,-0.157,0.314,-0.022,-61.4,-44.6,19.3,11.688,386.125,-8.625,94.086,26.507,167.968,43.667,5.33,41785.05,8945.26
107347,-0.159,0.296,-0.047,-70,-43.9,8.9,12.125,383.625,-7.688,99.002,27.983,178.671,43.643,5.25,41569.14,9001.46
107348,-0.17,0.304,-0.024,-66.2,-44.3,0.7,11.25,380.062,-8.062,94.596,29.148,182.058,43.648,5.34,41352.19,9059.08
